time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_base,taker_quote,ignored
2017-08-17 00:00:00+00:00,4261.48,4485.39,4200.74,4285.08,795.150377,2017-08-17 23:59:59.999000+00:00,3454770.05073206,3427,616.248541,2678216.40060401,0
2017-08-18 00:00:00+00:00,4285.08,4371.52,3938.77,4108.37,1199.888264,2017-08-18 23:59:59.999000+00:00,5086958.30617151,5233,972.86871,4129123.31651808,0
2017-08-19 00:00:00+00:00,4108.37,4184.69,3850,4139.98,381.309763,2017-08-19 23:59:59.999000+00:00,1549483.73542151,2153,274.336042,1118001.87008735,0
2017-08-20 00:00:00+00:00,4120.98,4211.08,4032.62,4086.29,467.083022,2017-08-20 23:59:59.999000+00:00,1930364.39032646,2321,376.795947,1557401.3337373,0
2017-08-21 00:00:00+00:00,4069.13,4119.62,3911.79,4016,691.74306,2017-08-21 23:59:59.999000+00:00,2797231.71402728,3972,557.356107,2255662.55315837,0
2017-08-22 00:00:00+00:00,4016,4104.82,3400,4040,966.684858,2017-08-22 23:59:59.999000+00:00,3752505.77214051,6494,423.995181,1637188.36934226,0
2017-08-23 00:00:00+00:00,4040,4265.8,4013.89,4114.01,1001.136565,2017-08-23 23:59:59.999000+00:00,4148686.46581968,8629,309.419092,1293567.09519463,0
2017-08-24 00:00:00+00:00,4147,4371.68,4085.01,4316.01,787.418753,2017-08-24 23:59:59.999000+00:00,3296476.41316476,6247,206.820412,868379.0641312,0
2017-08-25 00:00:00+00:00,4316.01,4453.91,4247.48,4280.68,573.61274,2017-08-25 23:59:59.999000+00:00,2484637.34936327,6554,100.097974,434577.13574645,0
2017-08-26 00:00:00+00:00,4280.71,4367,4212.41,4337.44,228.108068,2017-08-26 23:59:59.999000+00:00,977865.7333321,2260,56.190141,241363.80050245,0
2017-08-27 00:00:00+00:00,4332.51,4400,4285.54,4310.01,350.692585,2017-08-27 23:59:59.999000+00:00,1521580.06202557,3670,101.651358,442442.17937215,0
2017-08-28 00:00:00+00:00,4310.01,4399.82,4124.54,4386.69,603.841616,2017-08-28 23:59:59.999000+00:00,2591660.52579953,4349,142.787782,612364.20611134,0
2017-08-29 00:00:00+00:00,4353.65,4625.85,4313.55,4587.48,603.545028,2017-08-29 23:59:59.999000+00:00,2682483.73582991,4159,143.442567,641982.02068658,0
2017-08-30 00:00:00+00:00,4564.52,4647.51,4416.01,4555.14,808.468771,2017-08-30 23:59:59.999000+00:00,3683714.68666123,5551,196.062252,894620.23750883,0
2017-08-31 00:00:00+00:00,4555.14,4745.42,4555.14,4724.89,556.956802,2017-08-31 23:59:59.999000+00:00,2579878.72401184,4161,131.947325,614342.53390234,0
2017-09-01 00:00:00+00:00,4689.89,4885.55,4654.88,4834.91,560.666366,2017-09-01 23:59:59.999000+00:00,2665165.55924616,4000,118.660103,566254.43089734,0
2017-09-02 00:00:00+00:00,4796.16,4939.19,4286.87,4472.14,929.148595,2017-09-02 23:59:59.999000+00:00,4257723.944817,7475,379.199863,1738334.08541735,0
2017-09-03 00:00:00+00:00,4508.5,4714.76,4298.33,4509.08,691.216198,2017-09-03 23:59:59.999000+00:00,3121052.75230181,6022,258.934536,1169644.69159694,0
2017-09-04 00:00:00+00:00,4505,4527.49,3972.51,4100.11,1394.644614,2017-09-04 23:59:59.999000+00:00,5909947.49008974,9317,578.600851,2460362.61291664,0
2017-09-05 00:00:00+00:00,4106.97,4484.99,3603,4366.47,1228.938157,2017-09-05 23:59:59.999000+00:00,5083453.18675071,10084,533.476065,2214297.83961246,0
2017-09-06 00:00:00+00:00,4366.49,4662.87,4335.26,4619.77,807.363726,2017-09-06 23:59:59.999000+00:00,3626346.05544323,7956,422.923063,1903231.7409154,0
2017-09-07 00:00:00+00:00,4619.77,4788.59,4438.19,4691.61,500.429975,2017-09-07 23:59:59.999000+00:00,2305795.13638315,3070,240.683949,1111299.24357466,0
2017-09-08 00:00:00+00:00,4691.66,4735.39,4028.93,4282.8,1132.255046,2017-09-08 23:59:59.999000+00:00,4866527.22639337,4733,465.962119,2004277.28941755,0
2017-09-09 00:00:00+00:00,4282.8,4426.62,4150.06,4258.81,658.782952,2017-09-09 23:59:59.999000+00:00,2815383.46568698,3777,287.989805,1233627.00774409,0
2017-09-10 00:00:00+00:00,4258.81,4283,3801,4130.37,660.373275,2017-09-10 23:59:59.999000+00:00,2700371.80819211,3435,291.786887,1193884.03650449,0
2017-09-11 00:00:00+00:00,4153.62,4334.43,4098.91,4208.47,699.989065,2017-09-11 23:59:59.999000+00:00,2956842.76250147,4228,322.19833,1361869.71324406,0
2017-09-12 00:00:00+00:00,4208.6,4394.59,4040.8,4163.72,879.630319,2017-09-12 23:59:59.999000+00:00,3725190.62328952,6501,451.78067,1911015.26637066,0
