time,open,high,low,close,volume
2025-07-26 20:00:00,297.4,299.11,294.6,294.92,11588.654
2025-07-27 00:00:00,294.94,298.14,294.3,295.94,9563.322
2025-07-27 04:00:00,295.94,299.29,295.09,295.93,14397.91
2025-07-27 08:00:00,295.88,298.9,293.93,296.06,17317.369
2025-07-27 12:00:00,296.04,297.99,294.45,297.01,13262.11
2025-07-27 16:00:00,297.02,301.7,296.74,298.11,25652.512
2025-07-27 20:00:00,298.16,306.07,297.42,304.93,19081.587
2025-07-28 00:00:00,304.92,307.11,301.05,304.01,22148.142
2025-07-28 04:00:00,304.0,309.0,302.77,305.98,19794.851
2025-07-28 08:00:00,305.94,307.22,302.88,304.03,17858.597
2025-07-28 12:00:00,304.03,304.6,291.03,292.02,38877.676
2025-07-28 16:00:00,292.03,293.84,287.01,289.46,24266.518
2025-07-28 20:00:00,289.48,290.24,285.7,288.96,17590.038
2025-07-29 00:00:00,288.96,291.78,283.95,290.26,20245.26
2025-07-29 04:00:00,290.29,295.58,286.88,295.39,14873.775
2025-07-29 08:00:00,295.4,295.59,285.21,286.33,19825.314
2025-07-29 12:00:00,286.35,291.85,279.69,282.62,31398.195
2025-07-29 16:00:00,282.61,285.71,279.13,281.87,15322.934
2025-07-29 20:00:00,281.86,284.12,279.45,282.35,14000.17
2025-07-30 00:00:00,282.37,284.82,278.44,283.55,11913.652
2025-07-30 04:00:00,283.54,284.4,279.86,281.9,9655.06
2025-07-30 08:00:00,281.86,283.36,272.11,273.8,24969.591
2025-07-30 12:00:00,273.78,279.83,272.1,276.21,28435.183
2025-07-30 16:00:00,276.26,279.53,263.57,273.16,48606.626
2025-07-30 20:00:00,273.12,276.22,269.34,274.58,27839.717
2025-07-31 00:00:00,274.6,280.25,273.25,279.07,18836.816
2025-07-31 04:00:00,279.08,279.92,277.33,277.7,11071.674
2025-07-31 08:00:00,277.7,279.34,274.34,275.06,16849.206
2025-07-31 12:00:00,275.06,275.39,265.8,268.82,29974.173
2025-07-31 16:00:00,268.83,272.11,265.68,266.94,22571.567
2025-07-31 20:00:00,266.94,268.68,260.0,260.99,35363.748
2025-08-01 00:00:00,260.99,262.84,254.77,261.09,43612.438
2025-08-01 04:00:00,261.08,261.08,256.0,258.25,25132.279
2025-08-01 08:00:00,258.24,259.42,252.52,259.2,25604.405
2025-08-01 12:00:00,259.18,262.05,252.79,259.49,43661.316
2025-08-01 16:00:00,259.48,261.09,253.98,259.46,34334.628
2025-08-01 20:00:00,259.44,260.0,249.09,255.36,33142.082
2025-08-02 00:00:00,255.37,258.0,254.84,256.69,9228.147
2025-08-02 04:00:00,256.67,257.9,249.9,255.65,13457.725
2025-08-02 08:00:00,255.68,256.05,251.59,254.8,9144.006
2025-08-02 12:00:00,254.8,256.4,251.12,252.0,12152.175
2025-08-02 16:00:00,251.99,253.73,245.0,248.06,29335.101
2025-08-02 20:00:00,248.05,252.46,247.68,249.45,14402.165
2025-08-03 00:00:00,249.48,254.66,246.6,253.98,18494.924
2025-08-03 04:00:00,253.96,255.96,253.05,255.91,7696.546
2025-08-03 08:00:00,255.92,259.66,255.91,257.34,17451.018
2025-08-03 12:00:00,257.35,258.32,255.94,257.61,6921.018
2025-08-03 16:00:00,257.6,259.7,256.71,258.68,6022.073
2025-08-03 20:00:00,258.69,261.01,258.02,260.06,9784.404
2025-08-04 00:00:00,260.05,264.64,259.58,263.63,16011.773
2025-08-04 04:00:00,263.65,264.6,260.37,261.69,11564.8
2025-08-04 08:00:00,261.71,263.3,260.68,262.28,10769.679
2025-08-04 12:00:00,262.27,267.93,261.66,265.47,34504.996
2025-08-04 16:00:00,265.46,271.17,265.35,266.09,20073.727
2025-08-04 20:00:00,266.09,270.22,265.64,267.82,12436.013
2025-08-05 00:00:00,267.83,268.31,261.5,261.62,18853.306
2025-08-05 04:00:00,261.63,262.58,256.7,257.34,16138.675
2025-08-05 08:00:00,257.33,263.74,256.3,263.1,11399.911
2025-08-05 12:00:00,263.1,263.39,252.57,253.87,23090.539
2025-08-05 16:00:00,253.85,255.39,252.04,252.7,17558.706
2025-08-05 20:00:00,252.7,256.05,249.93,255.39,19379.865
2025-08-06 00:00:00,255.4,255.59,251.34,252.12,8219.556
2025-08-06 04:00:00,252.11,259.22,251.22,258.58,12575.408
