2025-10-06 14:27:42 | INFO | DETECTED | BTCUSDT 3d | BukuT1_bull |  Pattern Detected: BTCUSDT |  Bukut1 Bull Timeframe: 3d Direction: Bullish PRZ: $74433.49 - $74582.51 Distance: 39.8%
2025-10-06 14:27:42 | INFO | DETECTED | BTCUSDT 3d | BukuT1_bull |  Pattern Detected: BTCUSDT |  Bukut1 Bull Timeframe: 3d Direction: Bullish PRZ: $74433.49 - $74582.51 Distance: 39.8%
2025-10-06 14:27:42 | INFO | DETECTED | BTCUSDT 3d | BukuT2_bull |  Pattern Detected: BTCUSDT |  Bukut2 Bull Timeframe: 3d Direction: Bullish PRZ: $74433.49 - $74582.51 Distance: 39.8%
2025-10-06 14:27:42 | INFO | DETECTED | BTCUSDT 3d | Gartley1_bull |  Pattern Detected: BTCUSDT |  Gartley1 Bull Timeframe: 3d Direction: Bullish PRZ: $98101.80 - $98298.20 Distance: 20.6%
2025-10-06 14:27:43 | INFO | DETECTED | BTCUSDT 3d | BukuT1_bull |  Pattern Detected: BTCUSDT |  Bukut1 Bull Timeframe: 3d Direction: Bullish PRZ: $98101.80 - $98298.20 Distance: 20.6%
2025-10-06 14:27:43 | INFO | DETECTED | BTCUSDT 3d | Gartley1_bull |  Pattern Detected: BTCUSDT |  Gartley1 Bull Timeframe: 3d Direction: Bullish PRZ: $98101.80 - $98298.20 Distance: 20.6%
2025-10-06 14:27:43 | INFO | DETECTED | BTCUSDT 3d | BukuT1_bull |  Pattern Detected: BTCUSDT |  Bukut1 Bull Timeframe: 3d Direction: Bullish PRZ: $98101.80 - $98298.20 Distance: 20.6%
2025-10-06 14:27:46 | INFO | DETECTED | ETHUSDT 3d | AB=CD_1a_bull |  Pattern Detected: ETHUSDT |  Ab=Cd 1A Bull Timeframe: 3d Direction: Bullish PRZ: $1383.66 - $1386.44 Distance: 69.6%
2025-10-06 14:27:46 | INFO | DETECTED | ETHUSDT 3d | AntiCrab1_bull |  Pattern Detected: ETHUSDT |  Anticrab1 Bull Timeframe: 3d Direction: Bullish PRZ: $2109.78 - $2114.00 Distance: 53.7%
2025-10-06 14:27:46 | INFO | DETECTED | ETHUSDT 3d | AntiCrab1_bull |  Pattern Detected: ETHUSDT |  Anticrab1 Bull Timeframe: 3d Direction: Bullish PRZ: $2109.78 - $2114.00 Distance: 53.7%
2025-10-06 14:27:47 | INFO | DETECTED | ETHUSDT 3d | AntiCrab1_bull |  Pattern Detected: ETHUSDT |  Anticrab1 Bull Timeframe: 3d Direction: Bullish PRZ: $2109.78 - $2114.00 Distance: 53.7%
2025-10-06 14:27:47 | INFO | DETECTED | ETHUSDT 3d | AntiButterfly1_bull |  Pattern Detected: ETHUSDT |  Antibutterfly1 Bull Timeframe: 3d Direction: Bullish PRZ: $3811.18 - $3818.81 Distance: 16.3%
2025-10-06 14:27:47 | INFO | DETECTED | ETHUSDT 3d | WobblyJohn1_bull |  Pattern Detected: ETHUSDT |  Wobblyjohn1 Bull Timeframe: 3d Direction: Bullish PRZ: $3811.18 - $3818.81 Distance: 16.3%
2025-10-06 14:27:47 | INFO | DETECTED | ETHUSDT 3d | SFPL_1_bull |  Pattern Detected: ETHUSDT |  Sfpl 1 Bull Timeframe: 3d Direction: Bullish PRZ: $3811.18 - $3818.81 Distance: 16.3%
2025-10-06 14:27:51 | INFO | DETECTED | ETHUSDT 2d | AntiCrab1_bull |  Pattern Detected: ETHUSDT |  Anticrab1 Bull Timeframe: 2d Direction: Bullish PRZ: $2109.78 - $2114.00 Distance: 53.7%
2025-10-06 14:27:52 | INFO | DETECTED | ETHUSDT 2d | AntiCrab1_bull |  Pattern Detected: ETHUSDT |  Anticrab1 Bull Timeframe: 2d Direction: Bullish PRZ: $2109.78 - $2114.00 Distance: 53.7%
2025-10-06 14:27:52 | INFO | DETECTED | ETHUSDT 2d | AntiCrab1_bull |  Pattern Detected: ETHUSDT |  Anticrab1 Bull Timeframe: 2d Direction: Bullish PRZ: $2109.78 - $2114.00 Distance: 53.7%
2025-10-06 14:27:52 | INFO | DETECTED | ETHUSDT 2d | AntiButterfly1_bull |  Pattern Detected: ETHUSDT |  Antibutterfly1 Bull Timeframe: 2d Direction: Bullish PRZ: $3811.18 - $3818.81 Distance: 16.3%
